w,lambda,run1,run2,run3,mean,std,min,max
25,8,298.295732999919,297.5702212001197,298.26472679991275,298.04356033331715,0.33494058913165053,297.5702212001197,298.295732999919
25,16,299.06856680009514,298.33852700004354,299.2392476000823,298.8821138000737,0.39063874252844394,298.33852700004354,299.2392476000823
25,32,300.0141491999384,299.8381546000019,299.5234068001155,299.7919035333519,0.20299654614579635,299.5234068001155,300.0141491999384
25,64,299.5040001999587,299.3392793999519,299.00710289995186,299.2834608332875,0.20666158484645233,299.00710289995186,299.5040001999587
25,∞,309.4490549999755,311.1820414001122,310.89609479997307,310.50906373335357,0.7585755293799777,309.4490549999755,311.1820414001122
50,8,512.6781888999976,511.1009422999341,511.45471430011094,511.7446151666809,0.6757507398844084,511.1009422999341,512.6781888999976
50,16,514.1165018000174,516.2658947000746,512.536978200078,514.30645823339,1.5282380161308569,512.536978200078,516.2658947000746
50,32,513.5151239000261,511.47277930006385,512.4552169998642,512.4810400666514,0.8339836086848255,511.47277930006385,513.5151239000261
50,64,512.4290691998322,510.5120176000055,513.1305621999782,512.0238829999386,1.1067447305648628,510.5120176000055,513.1305621999782
50,∞,531.3142270001117,528.8847868000157,529.6551133999601,529.9513757333625,1.0136973411248544,528.8847868000157,531.3142270001117
