city,w,lambda,version,jaccard
Alameda_CA,25,inf,3,0.929672
Alameda_CA,25,inf,6,0.898241
Alameda_CA,25,inf,9,0.87594
Alameda_CA,25,inf,12,0.850163
Alameda_CA,25,inf,15,0.826967
Alameda_CA,25,inf,18,0.804911
Alameda_CA,25,inf,21,0.812963
Alameda_CA,25,inf,24,0.761348
Alameda_CA,25,inf,27,0.741778
Alameda_CA,25,inf,30,0.713461
Alameda_CA,25,inf,33,0.69011
Alameda_CA,25,inf,36,0.493406
Alameda_CA,25,inf,39,0.493725
Alameda_CA,25,inf,42,0.488363
Alameda_CA,25,inf,45,0.306621
Alameda_CA,25,inf,48,0.298679
Alameda_CA,25,inf,51,0.296459
Alameda_CA,25,inf,54,0.285762
Alameda_CA,25,inf,57,0.270007
Alameda_CA,25,inf,60,0.250831
Alameda_CA,25,inf,63,0.240582
Alameda_CA,25,inf,66,0.241952
Alameda_CA,25,inf,69,0.23001
Alameda_CA,25,inf,72,0.229627
Alameda_CA,25,inf,75,0.21552
Alameda_CA,25,inf,78,0.214448
Alameda_CA,25,inf,81,0.173743
Alameda_CA,25,inf,84,0.15979
Alameda_CA,25,inf,87,0.136395
Alameda_CA,25,inf,90,0.13658
Alameda_CA,25,inf,93,0.122849
Alameda_CA,25,inf,96,0.123103
Alameda_CA,25,inf,99,0.110367
Alameda_CA,25,inf,102,0.106817
Alameda_CA,25,inf,105,0.078592
Alameda_CA,25,inf,108,0.078844
Alameda_CA,25,inf,111,0.069636
Alameda_CA,25,inf,114,0.070007
Alameda_CA,25,inf,117,0.044205
Alameda_CA,25,inf,120,0.042694
Alameda_CA,25,inf,123,0.042995
Alameda_CA,25,inf,126,0.043091
Alameda_CA,25,inf,129,0.043939
Alameda_CA,25,inf,132,0.043939
Alameda_CA,25,inf,135,0.044224
Alameda_CA,25,inf,138,0.044633
Alameda_CA,25,inf,141,0.044805
Alameda_CA,25,inf,144,0.044547
Alameda_CA,25,inf,147,0.044719
Albany_GA,25,inf,3,1.0
Albany_GA,25,inf,6,0.956849
Albany_GA,25,inf,9,0.949616
Albany_GA,25,inf,12,0.93818
Albany_GA,25,inf,15,0.93818
